Timestamp,Antenna_ID,RSSI,Phase,Platform_ID,RSSI_KF,Phase_KF
2025-03-28 19:05:52.066932+00:00,9,-61.5,6.178874614,K1,-65.75473532662778,3.099279231354382
2025-03-28 19:05:52.343307+00:00,17,-73.5,0.539961237,K1,-66.49145033387423,2.855818321150609
2025-03-28 19:05:52.728787+00:00,9,-60.0,1.251728323,K1,-65.87398778646087,2.703226313425833
2025-03-28 19:05:52.921373+00:00,9,-60.0,0.877437011,K1,-65.31525194756004,2.5295453856791097
2025-03-28 19:05:53.162636+00:00,17,-69.5,2.178252719,K1,-65.71331015151958,2.4961282471594495
2025-03-28 19:05:53.451921+00:00,1,-60.5,1.736466252,K1,-65.21741037153805,2.423864660568072
2025-03-28 19:05:53.581125+00:00,9,-57.0,2.221204181,K1,-64.43575042548945,2.4045864238239045
2025-03-28 19:05:53.883604+00:00,17,-68.5,5.908893995,K1,-64.82235351712802,2.7379358778441625
2025-03-28 19:05:54.256181+00:00,1,-59.0,4.853515213,K1,-64.26851236652735,2.9391814178600515
2025-03-28 19:05:54.411627+00:00,9,-59.0,2.251883797,K1,-63.767352780000806,2.873801960554232
2025-03-28 19:05:54.658501+00:00,17,-68.0,5.752427955,K1,-64.16997825315808,3.147632147358528
2025-03-28 19:05:55.032924+00:00,1,-60.5,4.491495747,K1,-63.820875239959406,3.2754674931254444
2025-03-28 19:05:55.171990+00:00,9,-58.5,2.485048876,K1,-63.31473141252797,3.20027877882764
2025-03-28 19:05:55.413125+00:00,17,-68.5,5.908893995,K1,-63.80797647894491,3.45793616517348
2025-03-28 19:05:55.768450+00:00,1,-60.0,4.718524904,K1,-63.44574493974143,3.577849789805029
2025-03-28 19:05:55.904735+00:00,9,-60.0,2.828660573,K1,-63.11797014837677,3.5065831173399182
2025-03-28 19:05:56.197729+00:00,17,-68.5,5.878214379,K1,-63.62993349284831,3.7321846325502417
2025-03-28 19:05:56.615844+00:00,9,-59.5,2.435961491,K1,-63.237075038393066,3.608881383613975
2025-03-28 19:05:56.843665+00:00,9,-60.5,5.921165841,K1,-62.97671161124772,3.8288374429349052
2025-03-28 19:05:56.992007+00:00,17,-68.5,5.961049342,K1,-63.50211296001015,4.031664069922462
2025-03-28 19:05:57.303020+00:00,1,-62.0,4.773748212,K1,-63.359224810866365,4.102254804921746
2025-03-28 19:05:57.434503+00:00,9,-59.0,2.638446955,K1,-62.9445544349544,3.963010134607341
2025-03-28 19:05:57.678625+00:00,17,-68.0,5.556078414,K1,-63.42545278322079,4.114550686349666
2025-03-28 19:05:58.147912+00:00,9,-62.5,2.481980915,K1,-63.33741923686747,3.9592525672723253
2025-03-28 19:05:58.369117+00:00,17,-67.5,5.638913376,K1,-63.733384121964455,4.119030210205274
2025-03-28 19:05:58.736759+00:00,1,-61.0,1.116738014,K1,-63.473371323985134,3.8334373414008183
2025-03-28 19:05:58.877910+00:00,9,-63.5,0.908116626,K1,-63.475904373490096,3.5551663904093345
2025-03-28 19:05:59.532980+00:00,9,-60.5,1.184233168,K1,-63.19282181409203,3.329631521969825
2025-03-28 19:05:59.826865+00:00,17,-73.0,3.847223816,K1,-64.12572857177372,3.378867454032736
2025-03-28 19:06:00.372196+00:00,9,-60.0,2.116893487,K1,-63.73326906733776,3.2588222679478953
2025-03-28 19:06:00.580429+00:00,17,-69.0,4.246058821,K1,-64.23426632761677,3.3527330750326105
2025-03-28 19:06:00.730110+00:00,17,-70.0,4.227651051,K1,-64.78273119584382,3.435959584313601
2025-03-28 19:06:01.222942+00:00,9,-59.5,1.699650713,K1,-64.28021187616213,3.2707933301473204
2025-03-28 19:06:01.881386+00:00,9,-59.5,1.718058482,K1,-63.825494648609016,3.1230895428233354
2025-03-28 19:06:02.449095+00:00,1,-64.0,3.393165503,K1,-63.842094454924414,3.1487804983234184
2025-03-28 19:06:02.551898+00:00,9,-59.0,1.767145868,K1,-63.381490634509674,3.0173526083102464
2025-03-28 19:06:02.817666+00:00,17,-72.0,0.889708857,K1,-64.2013256117988,2.8149606579307758
2025-03-28 19:06:03.207681+00:00,9,-60.0,1.043106936,K1,-63.80167486219852,2.6464132077823344
2025-03-28 19:06:03.913741+00:00,9,-58.5,1.521708942,K1,-63.297353476723046,2.539425800644844
2025-03-28 19:06:04.128710+00:00,17,-71.0,0.865165164,K1,-64.03006709992364,2.3801618862565492
2025-03-28 19:06:04.618445+00:00,9,-59.5,1.828505099,K1,-63.59914483318178,2.327685576882813
2025-03-28 19:06:04.827129+00:00,17,-70.5,0.751650586,K1,-64.25558812666722,2.177765370108524
2025-03-28 19:06:05.265702+00:00,9,-59.5,1.491029326,K1,-63.80321318610088,2.112439657054363
2025-03-28 19:06:05.916321+00:00,9,-60.5,1.491029326,K1,-63.48899529458547,2.053328047471959
2025-03-28 19:06:06.248585+00:00,17,-72.0,0.920388473,K1,-64.29860394239738,1.9455572583611835
2025-03-28 19:06:06.666613+00:00,9,-64.0,0.56450493,K1,-64.27019926598348,1.8141847628972354
2025-03-28 19:06:06.888214+00:00,17,-69.5,5.792311455,K1,-64.76768364833124,2.192603755232743
2025-03-28 19:06:07.335084+00:00,9,-68.5,0.325203927,K1,-65.12271994748505,2.0149674918376648
2025-03-28 19:06:07.477711+00:00,9,-70.0,0.521553468,K1,-65.58667082916297,1.8729065990573983
2025-03-28 19:06:07.707515+00:00,17,-74.0,1.417398248,K1,-66.3869881061757,1.8295764026327976
2025-03-28 19:06:08.198097+00:00,9,-68.0,5.773903686,K1,-66.54042573610548,2.2047802282107427
2025-03-28 19:06:08.404630+00:00,17,-68.5,5.175651178,K1,-66.72683008445,2.4873840958165854
2025-03-28 19:06:08.520048+00:00,17,-69.0,5.141903601,K1,-66.94306519471967,2.739895056853393
2025-03-28 19:06:08.873968+00:00,1,-59.5,5.534602683,K1,-66.23504420038337,3.005741401926324
2025-03-28 19:06:09.057936+00:00,9,-68.0,5.810719225,K1,-66.40293548280633,3.2725646986449872
2025-03-28 19:06:09.230108+00:00,17,-68.5,5.310641488,K1,-66.60241858108334,3.4664365943040276
2025-03-28 19:06:09.537007+00:00,1,-60.5,5.319845372,K1,-66.02192649041079,3.6427419597382396
2025-03-28 19:06:09.764823+00:00,9,-70.5,2.742757649,K1,-66.44790288317907,3.5571310223738704
2025-03-28 19:06:09.920898+00:00,17,-68.5,5.258486141,K1,-66.64310846113962,3.7189722953254605
2025-03-28 19:06:10.252399+00:00,1,-60.0,5.583690068,K1,-66.01118328753509,3.896353427992035
2025-03-28 19:06:10.451996+00:00,9,-69.5,6.013204689,K1,-66.34305670490569,4.097718739060151
2025-03-28 19:06:10.614799+00:00,17,-69.0,1.929747831,K1,-66.5957982284253,3.8914906755609615
2025-03-28 19:06:10.947782+00:00,1,-60.5,5.135767678,K1,-66.01593589779588,4.009852428344869
2025-03-28 19:06:11.093829+00:00,9,-65.5,4.979301637,K1,-65.96685753578977,4.10207120868388
2025-03-28 19:06:11.281346+00:00,17,-69.5,5.246214295,K1,-66.30294743693403,4.210907730504152
2025-03-28 19:06:11.795592+00:00,9,-67.5,5.154175447,K1,-66.41681696857006,4.300635998441124
2025-03-28 19:06:11.983777+00:00,17,-69.5,5.368932758,K1,-66.71010451381412,4.402257644343319
2025-03-28 19:06:12.584151+00:00,9,-68.5,5.669592992,K1,-66.88036818225383,4.5228128204076725
2025-03-28 19:06:12.779118+00:00,17,-69.0,5.089748254,K1,-67.0819979935054,4.57674250929361
2025-03-28 19:06:13.276868+00:00,9,-69.5,5.933437688,K1,-67.31201024568203,4.705798032312487
2025-03-28 19:06:13.524071+00:00,17,-68.5,1.932815793,K1,-67.4250176783574,4.442018313160123
2025-03-28 19:06:13.901954+00:00,1,-60.5,5.675728915,K1,-66.76627591208485,4.5593749378992054
2025-03-28 19:06:14.098810+00:00,9,-69.5,5.988660996,K1,-67.0263212026294,4.6953356626547205
2025-03-28 19:06:14.253432+00:00,17,-68.5,5.329049257,K1,-67.16650478323619,4.755617618870561
2025-03-28 19:06:14.538292+00:00,1,-59.5,5.252350218,K1,-66.43722911395297,4.802869268604481
2025-03-28 19:06:14.692586+00:00,9,-65.0,0.362019466,K1,-66.30051280663525,4.380433777636216
2025-03-28 19:06:14.917804+00:00,17,-68.0,5.095884177,K1,-66.46217639329379,4.448490941051408
2025-03-28 19:06:15.227310+00:00,1,-62.0,4.921010368,K1,-66.03771221206182,4.493439314670663
2025-03-28 19:06:15.412624+00:00,9,-62.5,0.300660234,K1,-65.70118761393323,4.094601531771896
2025-03-28 19:06:15.592754+00:00,17,-68.5,1.816233253,K1,-65.9674244237703,3.8778719270281905
2025-03-28 19:06:15.893917+00:00,1,-60.0,1.626019635,K1,-65.39977364108795,3.663664653454676
2025-03-28 19:06:16.101880+00:00,9,-63.0,0.377359274,K1,-65.17149536072964,3.351055110655359
2025-03-28 19:06:16.404413+00:00,17,-68.5,4.939418137,K1,-65.48811910482324,3.502148019600748
2025-03-28 19:06:16.616780+00:00,25,-72.0,1.92667987,K1,-66.1075612668678,3.352281734799532
2025-03-28 19:06:17.014882+00:00,9,-64.0,6.185010537,K1,-65.90707966580563,3.6217448410785282
2025-03-28 19:06:17.234231+00:00,17,-67.5,5.117359908,K1,-66.05860608830373,3.7640151076205126
2025-03-28 19:06:17.535170+00:00,1,-62.5,4.878058905,K1,-65.72009396182398,3.869988436920297
2025-03-28 19:06:17.699886+00:00,9,-62.0,0.177941771,K1,-65.36622031397596,3.5187827859054908
2025-03-28 19:06:17.924553+00:00,17,-67.0,4.727728788,K1,-65.52163347912895,3.6337836800237806
2025-03-28 19:06:18.215619+00:00,1,-61.0,1.607611866,K1,-65.09151344723925,3.4410442443117732
2025-03-28 19:06:18.343735+00:00,9,-60.0,0.619728238,K1,-64.60718362784931,3.1726667793514656
2025-03-28 19:06:18.598381+00:00,17,-67.5,5.172583217,K1,-64.88236255953062,3.362908674434382
2025-03-28 19:06:18.879045+00:00,1,-60.5,4.96396183,K1,-64.46549066300042,3.5152087309314397
2025-03-28 19:06:19.022999+00:00,9,-62.5,5.91809788,K1,-64.27852351704496,3.7437833737452206
2025-03-28 19:06:19.272681+00:00,17,-66.5,4.976233676,K1,-64.48984129414968,3.86102011258222
2025-03-28 19:06:19.654627+00:00,1,-60.5,4.982369599,K1,-64.11030795236121,3.9676883949816366
2025-03-28 19:06:19.775682+00:00,9,-63.0,5.761631839,K1,-64.00468999502745,4.138337125116992
2025-03-28 19:06:19.983185+00:00,17,-67.0,5.0222531,K1,-64.28961862553383,4.222419563257998
2025-03-28 19:06:20.400752+00:00,1,-61.5,2.319378951,K1,-64.02425637144695,4.041392973506433
2025-03-28 19:06:20.545425+00:00,9,-63.5,5.780039609,K1,-63.97438652501948,4.206781599045527
2025-03-28 19:06:20.745849+00:00,17,-67.5,5.163379332,K1,-64.30976023173216,4.297777883751901
2025-03-28 19:06:21.246737+00:00,9,-64.5,5.853670687,K1,-64.3278567748447,4.445782065258465
2025-03-28 19:06:21.442909+00:00,17,-68.5,5.203262833,K1,-64.72473157359566,4.517837364185554
